100	2
-1.000000	-1.000000	0.243198
-1.000000	-0.800000	0.357480
-1.000000	-0.600000	0.541626
-1.000000	-0.400000	0.734988
-1.000000	-0.200000	0.875463
-1.000000	0.000000	0.909297
-1.000000	0.200000	0.799574
-1.000000	0.400000	0.532039
-1.000000	0.600000	0.117356
-1.000000	0.800000	-0.410582
-0.800000	-1.000000	0.357480
-0.800000	-0.800000	0.541751
-0.800000	-0.600000	0.738619
-0.800000	-0.400000	0.902331
-0.800000	-0.200000	0.991383
-0.800000	0.000000	0.973848
-0.800000	0.200000	0.831458
-0.800000	0.400000	0.561958
-0.800000	0.600000	0.179385
-0.800000	0.800000	-0.287726
-0.600000	-1.000000	0.541626
-0.600000	-0.800000	0.738619
-0.600000	-0.600000	0.909355
-0.600000	-0.400000	1.024316
-0.600000	-0.200000	1.059645
-0.600000	0.000000	0.999574
-0.600000	0.200000	0.838016
-0.600000	0.400000	0.579192
-0.600000	0.600000	0.237195
-0.600000	0.800000	-0.165433
-0.400000	-1.000000	0.734988
-0.400000	-0.800000	0.902331
-0.400000	-0.600000	1.024316
-0.400000	-0.400000	1.085212
-0.400000	-0.200000	1.074043
-0.400000	0.000000	0.985450
-0.400000	0.200000	0.820100
-0.400000	0.400000	0.584643
-0.400000	0.600000	0.291186
-0.400000	0.800000	-0.043644
-0.200000	-1.000000	0.875463
-0.200000	-0.800000	0.991383
-0.200000	-0.600000	1.059645
-0.200000	-0.400000	1.074043
-0.200000	-0.200000	1.031458
-0.200000	0.000000	0.932039
-0.200000	0.200000	0.779192
-0.200000	0.400000	0.579385
-0.200000	0.600000	0.341779
-0.200000	0.800000	0.077703
0.000000	-1.000000	0.909297
0.000000	-0.800000	0.973848
0.000000	-0.600000	0.999574
0.000000	-0.400000	0.985450
0.000000	-0.200000	0.932039
0.000000	0.000000	0.841471
0.000000	0.200000	0.717356
0.000000	0.400000	0.564642
0.000000	0.600000	0.389418
0.000000	0.800000	0.198669
0.200000	-1.000000	0.799574
0.200000	-0.800000	0.831458
0.200000	-0.600000	0.838016
0.200000	-0.400000	0.820100
0.200000	-0.200000	0.779192
0.200000	0.000000	0.717356
0.200000	0.200000	0.637195
0.200000	0.400000	0.541779
0.200000	0.600000	0.434567
0.200000	0.800000	0.319318
0.400000	-1.000000	0.532039
0.400000	-0.800000	0.561958
0.400000	-0.600000	0.579192
0.400000	-0.400000	0.584643
0.400000	-0.200000	0.579385
0.400000	0.000000	0.564642
0.400000	0.200000	0.541779
0.400000	0.400000	0.512274
0.400000	0.600000	0.477703
0.400000	0.800000	0.439712
0.600000	-1.000000	0.117356
0.600000	-0.800000	0.179385
0.600000	-0.600000	0.237195
0.600000	-0.400000	0.291186
0.600000	-0.200000	0.341779
0.600000	0.000000	0.389418
0.600000	0.200000	0.434567
0.600000	0.400000	0.477703
0.600000	0.600000	0.519318
0.600000	0.800000	0.559915
0.800000	-1.000000	-0.410582
0.800000	-0.800000	-0.287726
0.800000	-0.600000	-0.165433
0.800000	-0.400000	-0.043644
0.800000	-0.200000	0.077703
0.800000	0.000000	0.198669
0.800000	0.200000	0.319318
0.800000	0.400000	0.439712
0.800000	0.600000	0.559915
0.800000	0.800000	0.679989
